id,ticket_id,related_type,text,type,user_id
196,715,TICKET,Отложено,WAITING,2
197,691,TICKET,Непонятно,OBSCURE,716
198,635,TICKET,Затрудняюсь,HARD,1
200,716,TICKET,Затрудняюсь,HARD,2
201,725,TICKET,Затрудняюсь,HARD,1
204,24,TICKET,Затрудняюсь,HARD,99
205,683,TICKET,Отложено,WAITING,99
206,443,TICKET,Отложено,WAITING,99
207,366,TICKET,Затрудняюсь,HARD,716
208,789,TICKET,Ответил,SOLVED,99
209,790,TICKET,Отложено,WAITING,99
211,795,TICKET,Ответил,SOLVED,833
212,796,TICKET,Ответил,SOLVED,833
213,791,TICKET,Ответил,SOLVED,833
214,797,TICKET,vine,HARD,99
215,792,TICKET,Open Fire 452,HARD,99
216,786,TICKET,Ответил,SOLVED,22
217,787,TICKET,Ответил,SOLVED,22
218,800,TICKET,Отложено,WAITING,99
219,798,TICKET,ссылка не работает,WAITING,99
220,805,TICKET,Отложено,WAITING,99
222,800,TICKET,Затрудняюсь,HARD,990
223,810,TICKET,Непонятно,OBSCURE,716
224,812,TICKET,Занято,OCCUPIED,723
225,807,TICKET,Занято,OCCUPIED,723
227,816,TICKET,было уже узбекский трек,HARD,712
228,815,TICKET,Непонятно типа прикол втопку,OBSCURE,712
229,812,TICKET,vine,HARD,712
230,811,TICKET,мидоми не нашел,HARD,712
231,807,TICKET,vine,HARD,712
232,822,TICKET,Ответила,SOLVED,712
233,823,TICKET,эпическая,HARD,712
234,821,TICKET,из обзора игр,HARD,712
235,820,TICKET,Ответил,SOLVED,712
236,814,TICKET,разбиваю телефон,HARD,712
237,805,TICKET,было уже и не найдено,HARD,712
238,804,TICKET,трейлер фига с два,HARD,712
239,823,TICKET,эпик,WAITING,99
243,218,TICKET,Ответил,SOLVED,99
244,845,TICKET,плохо слышно электронная хрень,HARD,712
245,844,TICKET,vine anime,HARD,712
246,843,TICKET,Непонятно нет ссылки,OBSCURE,712
247,845,TICKET,Отложено,WAITING,99
248,842,TICKET,Непонятно но ответила,OBSCURE,712
249,841,TICKET,не нашла,HARD,712
250,838,TICKET,Непонятно нет ссылки,OBSCURE,712
251,837,TICKET,dj какой-то,HARD,712
252,833,TICKET,было уже teen wolf,HARD,712
253,848,TICKET,не удалось,HARD,712
256,872,TICKET,Ответил,SOLVED,788
257,445,TICKET,Ответил,SOLVED,99
258,870,TICKET,ссылка не алё,WAITING,99
260,883,TICKET,музыка спец для ролика,HARD,712
261,882,TICKET,не ищутся,HARD,712
262,881,TICKET,не ищется,HARD,712
263,880,TICKET,ХЗ,HARD,712
264,885,TICKET,Ответил,SOLVED,712
265,884,TICKET,ссылки нету искать ролик надо,HARD,712
267,879,TICKET,Ответил,SOLVED,712
268,878,TICKET,Непонятно,OBSCURE,712
269,877,TICKET,Непонятно,OBSCURE,712
270,878,TICKET,Ответил,SOLVED,788
271,876,TICKET,хз,HARD,712
272,874,TICKET,хз трейлер,HARD,712
273,873,TICKET,хз,HARD,712
274,871,TICKET,хз,HARD,712
275,870,TICKET,Непонятно,OBSCURE,712
276,867,TICKET,хз,HARD,712
277,863,TICKET,было в какой-то группе не нашли по-моему,HARD,712
278,862,TICKET,повтор,HARD,712
279,860,TICKET,Naruto хз,HARD,712
280,873,TICKET,S.T.A.L.K.E.R. WIKI,WAITING,99
281,905,TICKET,хз,HARD,712
282,904,TICKET,naruto,HARD,712
283,903,TICKET,хз,HARD,712
284,902,TICKET,Ответил,SOLVED,712
285,900,TICKET,хз,HARD,712
286,897,TICKET,хз,HARD,712
287,894,TICKET,хз,HARD,712
288,906,TICKET,Ответил,SOLVED,712
289,907,TICKET,хз,HARD,712
290,908,TICKET,хз,HARD,712
291,910,TICKET,хз,HARD,712
292,913,TICKET,хз,HARD,712
293,912,TICKET,хз,HARD,712
294,911,TICKET,Ответил,SOLVED,712
295,895,TICKET,хз,HARD,712
296,914,TICKET,хз,HARD,712
297,913,TICKET,Ответил,SOLVED,788
298,910,TICKET,Отложено,WAITING,99
299,916,TICKET,Ответил,SOLVED,788
300,867,TICKET,Ответил,SOLVED,43
301,925,TICKET,Ответил,SOLVED,788
302,935,TICKET,Ответил,SOLVED,788
303,850,TICKET,Непонятно,OBSCURE,99
304,945,TICKET,хз vine,HARD,712
305,944,TICKET,хз непонятно на какой минуте,HARD,712
306,943,TICKET,хз,HARD,712
307,942,TICKET,Непонятно пустышка,OBSCURE,712
308,941,TICKET,Непонятно с какой минуты повтор,OBSCURE,712
309,940,TICKET,хз OST Элизиум,HARD,712
310,913,TICKET,Ответил,SOLVED,99
311,938,TICKET,хз,HARD,712
312,937,TICKET,Ответил,SOLVED,712
313,936,TICKET,хз,HARD,712
314,951,TICKET,Непонятно нет ссылки,OBSCURE,712
315,950,TICKET,хз,HARD,712
316,948,TICKET,Затрудняюсь кусочек песни выкладываю,HARD,712
317,949,TICKET,Ответил,SOLVED,712
318,952,TICKET,хз,HARD,712
319,933,TICKET,хз,HARD,712
320,932,TICKET,Непонятно,OBSCURE,712
321,954,TICKET,Ответил,SOLVED,788
322,931,TICKET,хз,HARD,712
323,930,TICKET,хз,HARD,712
324,928,TICKET,хз,HARD,712
325,942,TICKET,Непонятно,OBSCURE,788
326,947,TICKET,Непонятно,OBSCURE,788
327,926,TICKET,хз,HARD,712
328,923,TICKET,хз,HARD,712
329,922,TICKET,хз,HARD,712
330,919,TICKET,хз,HARD,712
331,953,TICKET,Ответил,SOLVED,712
332,917,TICKET,хз,HARD,712
333,957,TICKET,Ответил,SOLVED,788
334,959,TICKET,Ответил,SOLVED,788
335,960,TICKET,Непонятно,OBSCURE,788
336,958,TICKET,хз,HARD,712
337,956,TICKET,хз,HARD,712
338,961,TICKET,хз,HARD,712
339,963,TICKET,хз cameron dallas vine,HARD,712
340,964,TICKET,Затрудняюсь,HARD,712
341,970,TICKET,хз,HARD,712
342,965,TICKET,хз,,
,712,,,,
343,971,TICKET,Ответил,SOLVED,43
345,973,TICKET,Ответил,SOLVED,788
346,974,TICKET,Затрудняюсь игра антикиллер,HARD,712
347,977,TICKET,Ответил,SOLVED,712
348,980,TICKET,Затрудняюсь,HARD,712
349,979,TICKET,Затрудняюсь,HARD,712
350,976,TICKET,Затрудняюсь,HARD,712
351,982,TICKET,Затрудняюсь,HARD,712
352,984,TICKET,Затрудняюсь,HARD,712
353,985,TICKET,Затрудняюсь,HARD,712
354,987,TICKET,Затрудняюсь,HARD,712
355,988,TICKET,Затрудняюсь,HARD,712
356,989,TICKET,Затрудняюсь,HARD,712
358,995,TICKET,Ответил,SOLVED,788
359,998,TICKET,Ответил,SOLVED,712
360,996,TICKET,Ответил,SOLVED,712
361,992,TICKET,Затрудняюсь vine,HARD,712
362,990,TICKET,Затрудняюсь vine,HARD,712
363,993,TICKET,Затрудняюсь реклама,HARD,712
364,994,TICKET,Затрудняюсь реклама,HARD,712
365,999,TICKET,Затрудняюсь,HARD,712
