id,has_attachment,status,text,link,user_id,resolved_by_id,target_id,visits_count_admin,visits_count_expert,visits_count_user
1,FALSE,CLOSED,Я ищу трек про Лабутены. Помогите пожалуйста.,http://hazanda.com/ticket-1,1,,3,9,3,1
2,FALSE,CLOSED,Трек с 2-25 кто может опознать?,http://hazanda.com/ticket-2,2,,1,2,2,
3,FALSE,CLOSED,ракамакафо! чё за трек?,http://hazanda.com/ticket-3,3,,2,2,2,
4,FALSE,CLOSED,ищу трек про свинюшек и хорьков,http://hazanda.com/ticket-4,2,,4,2,1,
5,TRUE,CLOSED,Нужна версия с женским вокалом и началом как в прикрепленном файле,http://hazanda.com/ticket-5,4,,6,4,1,
6,TRUE,CLOSED,полный трек есть у кого?,http://hazanda.com/ticket-6,2,,25,2,1,
7,TRUE,CLOSED,Ищу подобные треки готов заплатить,http://hazanda.com/ticket-7,2,,,2,1,
8,TRUE,CLOSED,ищу название трека,http://hazanda.com/ticket-8,2,,5,2,1,
9,TRUE,CLOSED,оригинал знает кто?,http://hazanda.com/ticket-9,2,1,3,2,1,
10,FALSE,CLOSED,Просто тест),http://hazanda.com/ticket-10,5,,7,2,1,
11,FALSE,CLOSED, уууу макарена,http://hazanda.com/ticket-11,2,,8,2,1,
12,FALSE,CLOSED,дан та чи гур кариа макарана,http://hazanda.com/ticket-12,2,1,9,2,1,
13,FALSE,CLOSED,уитвен кусадаю амеа касабрена ,http://hazanda.com/ticket-13,1,,8,2,2,
14,FALSE,CLOSED,Песня про космос и Белку Стрелку,http://hazanda.com/ticket-14,7,,19,2,2,1
15,TRUE,CLOSED,Песенка про Т-ёлочку,http://hazanda.com/ticket-15,7,,12,5,1,
16,TRUE,CLOSED,Найдите ссылку трека про тапочки!,http://hazanda.com/ticket-16,2,,,5,1,
17,FALSE,CLOSED,крокодиль,http://hazanda.com/ticket-17,11,,13,2,1,
18,FALSE,CLOSED,этот трек как называется?,http://hazanda.com/ticket-18,4,1,14,2,1,
19,FALSE,CLOSED,Ищу весёлую песенку с матами как бы на немецком языке но понятную русскому человеку))) ,http://hazanda.com/ticket-19,2,,18,3,1,
20,FALSE,CLOSED,проверка тикета для пользователя ( третья вкладка),http://hazanda.com/ticket-20,2,1,,2,2,
21,FALSE,CLOSED,Ремикс на чунга чангу в стиле happy dnb существует?,http://hazanda.com/ticket-21,15,,,2,2,
22,TRUE,CLOSED, Возможно ли сделать полную версию трека?,http://hazanda.com/ticket-22,16,43,24,4,2,
23,FALSE,CLOSED,https://www.ibaudio.com/index.php?Page=BrowseSongs&SongID=586&CategoryID=40,http://hazanda.com/ticket-23,17,60,92,6,2,
24,FALSE,OPEN,озвучивали в: http://www.dejobaan.com/ ,http://hazanda.com/ticket-24,2,2,,4,4,
25,FALSE,OPEN,Трек из фильма пиджак когда ему дают таблетки. в стиле псайчил.,http://hazanda.com/ticket-25,2,,,1,3,
26,FALSE,CLOSED,надо определить название играл в такси,http://hazanda.com/ticket-26,18,,,1,3,
27,FALSE,CLOSED, трек в конце??,http://hazanda.com/ticket-27,19,22,94,3,3,
28,FALSE,REOPEN, ,http://hazanda.com/ticket-28,19,,93,2,3,1
29,FALSE,CLOSED, трек на 6-06 ??,http://hazanda.com/ticket-29,20,,,1,3,
30,FALSE,RESOLVED, ,http://hazanda.com/ticket-30,21,2,16,1,4,
31,FALSE,CLOSED, нужен трек на 1-01-34 на видео UK B-boy Championship 1998,http://hazanda.com/ticket-31,23,833,17,1,6,10
32,FALSE,RESOLVED, ,http://hazanda.com/ticket-32,24,60,110,1,3,
